2016-11-16 11:32:23,929 : INFO : collecting all words and their counts
2016-11-16 11:32:23,929 : INFO : PROGRESS: at example #0, processed 0 words (0/s), 0 word types, 0 tags
2016-11-16 11:32:24,016 : INFO : collected 11802 word types and 13 unique tags from a corpus of 4880 examples and 95616 words
2016-11-16 11:32:24,024 : INFO : min_count=5 retains 2637 unique words (drops 9165)
2016-11-16 11:32:24,025 : INFO : min_count leaves 81620 word corpus (85% of original 95616)
2016-11-16 11:32:24,029 : INFO : deleting the raw counts dictionary of 11802 items
2016-11-16 11:32:24,029 : INFO : sample=0 downsamples 0 most-common words
2016-11-16 11:32:24,029 : INFO : downsampling leaves estimated 81620 word corpus (100.0% of prior 81620)
2016-11-16 11:32:24,029 : INFO : estimated required memory for 2637 words and 300 dimensions: 8192900 bytes
2016-11-16 11:32:24,031 : INFO : constructing a huffman tree from 2637 words
2016-11-16 11:32:24,086 : INFO : built huffman tree with maximum node depth 14
2016-11-16 11:32:24,087 : INFO : resetting layer weights
2016-11-16 11:32:24,120 : INFO : training model with 1 workers on 2637 vocabulary and 300 features, using sg=0 hs=1 sample=0 negative=0
2016-11-16 11:32:24,120 : INFO : expecting 4880 sentences, matching count from corpus used for vocabulary survey
2016-11-16 11:32:24,121 : DEBUG : queueing job #0 (9993 words, 558 sentences) at alpha 0.02500
2016-11-16 11:32:24,122 : DEBUG : queueing job #1 (9982 words, 562 sentences) at alpha 0.02500
2016-11-16 11:32:24,123 : DEBUG : queueing job #2 (9977 words, 564 sentences) at alpha 0.02500
2016-11-16 11:32:24,126 : DEBUG : queueing job #3 (9991 words, 547 sentences) at alpha 0.02500
2016-11-16 11:32:24,165 : DEBUG : queueing job #4 (9983 words, 581 sentences) at alpha 0.02500
2016-11-16 11:32:24,199 : DEBUG : queueing job #5 (9992 words, 501 sentences) at alpha 0.02500
2016-11-16 11:32:24,235 : DEBUG : queueing job #6 (9964 words, 447 sentences) at alpha 0.02500
2016-11-16 11:32:24,274 : DEBUG : queueing job #7 (9952 words, 428 sentences) at alpha 0.02500
2016-11-16 11:32:24,310 : DEBUG : queueing job #8 (9966 words, 433 sentences) at alpha 0.02500
2016-11-16 11:32:24,348 : DEBUG : queueing job #9 (9990 words, 491 sentences) at alpha 0.02500
2016-11-16 11:32:24,385 : DEBUG : queueing job #10 (9993 words, 566 sentences) at alpha 0.02500
2016-11-16 11:32:24,421 : DEBUG : queueing job #11 (9991 words, 561 sentences) at alpha 0.02500
2016-11-16 11:32:24,459 : DEBUG : queueing job #12 (9987 words, 560 sentences) at alpha 0.02500
